journal	n	included
984	333	168
985	83	0
986	284	221
987	13	0
988	69	51
989	367	128
990	1127	804
991	797	71
992	668	486
993	1963	1252
994	1417	968
995	4059	1993
996	203	122
997	536	370
998	2870	1077
999	779	313
1000	332	0
1001	385	271
1002	2638	1987
1003	517	200
1004	905	624
1005	270	0
1006	121	28
1007	74	25
1008	20	0
1009	290	0
1010	1654	1
1011	65	21
1012	29	23
1013	2930	1606
1014	796	577
1015	85	16
1016	60	0
1017	367	267
1018	291	193
1019	236	77
1020	179	31
1021	90	49
1022	23	8
1023	375	250
1024	431	0
1025	113	61
1026	607	460
1027	850	623
1028	542	273
1029	466	247
1030	262	131
1031	140	22
1032	1117	528
1033	28	0
1034	175	0
1035	9	0
1036	41	0
1037	313	123
1038	608	308
1039	183	114
1040	660	382
1041	56	36
1042	75	0
1043	204	60
1044	244	161
1045	57	37
1046	44	0
1047	806	606
1048	1927	1282
1049	1855	1367
1050	75	35
1051	84	33
1052	603	439
1053	15	10
1054	2457	373
1055	367	21
1056	1179	719
1057	111	0
1058	348	242
1059	90	47
1060	1291	923
1061	59	31
1062	249	151
1063	156	81
1064	276	123
1065	513	222
1066	331	239
1067	34	0
1068	59	33
1069	34	0
1070	973	638
1071	174	134
1072	36	0
1073	189	54
1074	210	138
1075	869	694
1076	67	32
1077	496	277
1078	1150	411
1079	512	360
1080	573	380
1081	409	290
1082	686	379
1083	64	28
1084	110	68
1085	177	97
1086	100	64
1087	1751	1191
1088	3336	2371
1089	441	0
1090	251	170
1091	137	107
1092	239	0
1093	4918	3439
1094	14	5
1095	271	178
1096	3652	2808
1097	544	258
1098	15	0
1099	49	0
1100	939	538
1101	319	234
1102	645	439
1103	238	130
1104	89	23
1105	1434	730
1106	116	75
1107	207	170
1108	890	628
1109	15	7
1110	1346	1007
1111	26	0
1112	119	44
1113	384	44
1114	91	0
1115	746	415
1116	176	112
1117	365	227
1118	538	412
1119	3510	5
1120	449	314
1121	8	3
1122	28	5
1123	70	42
1124	25	0
1125	314	0
1126	201	99
1127	314	169
1128	730	12
1129	475	310
1130	2266	1549
1131	40	0
1132	14	5
1133	74	6
1134	295	180
1135	1521	0
1136	316	1
1137	166	1
1138	289	0
1139	151	41
1140	2974	1146
1141	5	2
1142	132	0
1143	58	30
1144	822	608
1145	54	28
1146	813	523
1147	332	238
1148	775	1
1149	179	134
1150	37	0
1151	273	192
1152	194	110
1153	249	189
1154	128	0
1155	6	0
1156	3801	2265
1157	147	113
1158	162	80
1159	122	44
1160	124	11
1161	171	108
1162	206	2
1163	5	0
1164	398	340
1165	35	28
1166	110	71
1167	19	0
1168	281	95
1169	11	0
1170	22	12
1171	247	172
1172	445	0
1173	680	440
1174	169	114
1175	232	172
1176	429	0
1177	624	57
1178	86	22
1179	1180	763
1180	14	0
1181	265	25
1182	62	36
1183	459	62
1184	583	1
1185	663	0
1186	599	19
1187	540	52
1188	894	644
1189	9	0
1190	254	137
1191	1197	744
1192	162	95
1193	511	314
1194	49	23
1195	21	0
1196	443	308
1197	300	235
1198	1037	814
1199	170	127
1200	214	65
1201	468	376
1202	60	0
1203	16	0
1204	213	0
1205	1174	881
1206	122	49
1207	14	10
1208	426	331
1209	125	100
1210	326	202
1211	81	48
1212	11	5
1213	74	67
1214	1063	385
1215	697	346
1216	1246	807
1217	6	0
1218	317	140
1219	1956	1410
1220	335	253
1221	1209	862
1222	6	1
1223	1310	895
1224	343	243
1225	11	5
1226	383	292
1227	308	177
1228	74	0
1229	107	0
1230	123	1
1231	904	546
1232	62	0
1233	164	71
1234	1551	1092
1235	359	230
1236	1794	11
1237	549	231
1238	104	83
1239	82	57
1240	1213	755
1241	59	0
1242	231	53
1243	1155	807
1244	138	88
1245	50	0
1246	60	25
1247	455	266
1248	1074	874
1249	263	175
1250	668	3
